รหัสสินค้า,ชื่อสินค้า,ราคา,ขาย,ชื่อร้านค้า,อัตราค่าคอมมิชชัน,คอมมิชชัน,ลิงก์สินค้า,ลิงก์ข้อเสนอ,รูปสินค้า
49762806095,ชุดคอมประกอบ AMD Ryzen 7 5800X 4.7 GHz/B550/DDR4 32GB (16X2) 3200/M.2 512GB/750W/เลือกเคสได้ RTX 5070,54.8พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿3,836.00",https://shopee.co.th/product/117467586/49762806095,https://s.shopee.co.th/2LWWVgtmYq,https://down-tx-th.img.susercontent.com/th-11134207-81ztk-mpvht7ozql1pdf.webp
47511604249,ชุดคอมประกอบ INTEL CORE I5 14500 5.0 GHz/B760M/DDR4 32GB (16X2) 3200/M.2 1TB/750W/เลือกเคสได้ RTX 5070,48.4พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿3,388.00",https://shopee.co.th/product/117467586/47511604249,https://s.shopee.co.th/2Vpwhzt9Dt,https://down-tx-th.img.susercontent.com/th-11134207-81ztf-mp0mdj79btoi6a.webp
48761612536,ชุดคอมประกอบ INTEL CORE I5 13500 4.8 GHz/B760M/DDR4 32GB (16X2) 3200/M.2 1TB/750W/เลือกเคสได้ RTX 5070,47.0พัน,0,แอดบอล คอมพิวเตอร์,7%,"฿3,290.00",https://shopee.co.th/product/117467586/48761612536,https://s.shopee.co.th/20tg74v3Eo,https://down-tx-th.img.susercontent.com/th-11134207-81ztl-mp0jaoe0uznk6b.webp
45009750605,BOSSPC / INTEL CORE ULTRA 5 225F / 32GB DDR5 BUS6000 RGB / RTX 5070 12GB / M.2 1TB,77.5พัน,0,BOSSPC,7%,"฿5,424.30",https://shopee.co.th/product/68680677/45009750605,https://s.shopee.co.th/2BD6JNuPtr,https://down-tx-th.img.susercontent.com/th-11134207-81zth-mnnrlzy11m9v63.webp
41832078539,TwithIT การ์ดจอ VGA Graphic Card GPU GTX 1060/1050Ti/1650 RTX 3050/3060/4060/5060/5060Ti/5070,3.5พัน,1,TwithTech,5%,฿174.50,https://shopee.co.th/product/45639215/41832078539,https://s.shopee.co.th/1gGpiSwJum,https://down-tx-th.img.susercontent.com/th-11134207-81zto-mpzcowidfwnf22.webp
55912980524,VGA ZOTAC GEFORCE RTX 5070 GAMING TWIN EDGE OC - 12GB GDDR7 มือสอง,24.6พัน,0,M&N Computer,4%,฿983.60,https://shopee.co.th/product/24283017/55912980524,https://s.shopee.co.th/1VxPW9wxFn,https://down-tx-th.img.susercontent.com/th-11134207-81ztf-mq00fruhkkxs6b.webp
26232688122,Geforce RTX 5070 OC 12GB GDDR7 Snow Fox DLSS 4 Esports Design Live AI กราฟิกการ์ดสําหรับเล่นเกมอิสระ,90.5พัน,0,PC Accessories Shop,4%,"฿3,620.12",https://shopee.co.th/product/69041335/26232688122,https://s.shopee.co.th/9AMqeFTlhI,https://down-tx-th.img.susercontent.com/sg-11134201-7renx-m8d3bdfuxnswe8.webp
56711653684,คอมประกอบครบชุด SPCOMZING RYZEN5 5600 / M.2 500GB / RTX 5070 12GB / B550M / 32GB DDR4 / จอ 24นิ้ว,26.7พัน,0,SPCOMZING,4%,"฿1,066.80",https://shopee.co.th/product/102917471/56711653684,https://s.shopee.co.th/903QRwUP2H,https://down-tx-th.img.susercontent.com/th-11134207-81ztk-mp20d8fdwykh66.webp
57957012502,MSI RTX5070 WORLD OF WARCRAFT MIDNIGHT VOID OC 12GB GDDR7,46.0พัน,0,EXPERT MINES COMPANY LIMITED,2.50%,"฿1,149.75",https://shopee.co.th/product/22858428/57957012502,https://s.shopee.co.th/8pk0FdV2NG,https://down-tx-th.img.susercontent.com/th-11134207-81ztj-mln8wxv1kao1df.webp
50256375628,GALAX RTX5070 EX GAMER 12GB GDDR7,35.0พัน,0,EXPERT MINES COMPANY LIMITED,2.50%,฿873.75,https://shopee.co.th/product/22858428/50256375628,https://s.shopee.co.th/8fQa3KVfiF,https://down-tx-th.img.susercontent.com/th-11134207-81ztg-ml3do6g159fm84.webp
